parameter,helix_x,helix_y,helix_z,spiral_x,spiral_y,spiral_z
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.012578949563923095,0.9999208860571255,0.012578617838741058,0.012578949563923095,0.0012577954393625875,1.5822579937738706e-05,0.0025157899127846188
0.02515789912784619,0.9996835567465339,0.025155245389375847,0.02515789912784619,0.00251499380803958,6.328531260421355e-05,0.0050315798255692375
0.037736848691769284,0.99928804962034,0.03772789267871718,0.037736848691769284,0.003770998192801601,0.00014237317774760602,0.007547369738353857
0.05031579825569238,0.9987344272588006,0.05029457036336618,0.05031579825569238,0.005025211995296828,0.0002530611455759858,0.010063159651138475
0.06289474781961547,0.9980227772604111,0.06285329004448194,0.06289474781961547,0.0062770390894025824,0.0003953141826980839,0.012578949563923095
0.07547369738353857,0.9971532122280464,0.07540206458240159,0.07547369738353857,0.0075258839784722985,0.0005690872604386209,0.015094739476707714
0.08805264694746166,0.9961258697511429,0.08793890841106125,0.08805264694746166,0.008771151952443056,0.0007743253655264343,0.017610529389492334
0.10063159651138476,0.9949409123839288,0.10046183785216795,0.10063159651138476,0.010012249244768854,0.0010109635131531525,0.02012631930227695
0.11321054607530785,0.9935985276197029,0.11296887142907283,0.11321054607530785,0.011248583189144842,0.0012789267623996578,0.02264210921506157
0.12578949563923095,0.9920989278611685,0.12545803018029603,0.12578949563923095,0.012479562375987815,0.001578130234027085,0.02515789912784619
0.13836844520315406,0.9904423503868246,0.13792733797265358,0.13836844520315406,0.013704596808638244,0.0019084791306286028,0.027673689040630813
0.15094739476707714,0.9886290573134227,0.1503748218139367,0.15094739476707714,0.014923098059249254,0.0022698687591377184,0.03018947895341543
0.16352634433100022,0.986659335554492,0.1627985121650943,0.16352634433100022,0.016134479424327976,0.002662184555688374,0.032705268866200045
0.17610529389492333,0.984533496774942,0.17519644325186898,0.17610529389492333,0.017338156079894772,0.0030853021128215644,0.03522105877898467
0.18868424345884643,0.9822518773417481,0.18756665337583714,0.18868424345884643,0.018533545236225937,0.0035390872090327514,0.037736848691769284
0.20126319302276952,0.9798148382707295,0.19990718522480458,0.20126319302276952,0.019720066292145552,0.004023395840653838,0.0402526386045539
0.2138421425866926,0.9772227651694256,0.21221608618250787,0.2138421425866926,0.020897140988832233,0.004538074256062969,0.042768428517338516
0.2264210921506157,0.9744760681760832,0.22449140863757258,0.2264210921506157,0.02206419356310666,0.005082958992214935,0.04528421843012314
0.2390000417145388,0.9715751818947602,0.23673121029167973,0.2390000417145388,0.023220650900165833,0.005657876913484472,0.04780000834290776
0.2515789912784619,0.9685205653265598,0.2489335544668916,0.2515789912784619,0.024365942685730158,0.006262645252814264,0.05031579825569238
0.264157940842385,0.9653127017970033,0.2610965104120882,0.264157940842385,0.02549950155756956,0.006897071655158955,0.052831588168476995
0.2767368904063081,0.9619520988795548,0.27321815360846585,0.2767368904063081,0.02662076325637494,0.007560954223215987,0.055347378081261625
0.2893158399702312,0.9584392883153087,0.28529656607404974,0.2893158399702312,0.02772916677594141,0.008254081565433627,0.05786316799404624
0.3018947895341543,0.9547748259288535,0.2973298366671723,0.3018947895341543,0.028824154512630002,0.008976232846286045,0.06037895790683086
0.31447373909807735,0.9509592915403253,0.30931606138886886,0.31447373909807735,0.029905172414074477,0.009727177838804803,0.06289474781961547
0.32705268866200043,0.9469932888736633,0.32125334368414366,0.32705268866200043,0.030971670127100205,0.010506676979355686,0.06541053773240009
0.33963163822592357,0.9428774454610842,0.33313979474205757,0.33963163822592357,0.032023101144822194,0.011314481424649293,0.06792632764518472
0.35221058778984665,0.9386124125437894,0.34497353379459045,0.35221058778984665,0.03305892295288941,0.012150333110973324,0.07044211755796934
0.36478953735376973,0.9341988649689198,0.3567526884142317,0.36478953735376973,0.034078597174842906,0.013013964815634115,0.07295790747075395
0.37736848691769287,0.9296375010827771,0.3684753948102499,0.37736848691769287,0.03508158971655527,0.013905100220594348,0.07547369738353857
0.38994743648161595,0.924929042620325,0.38013979812359666,0.38994743648161595,0.03606737090971911,0.014823453978293552,0.07798948729632318
0.40252638604553903,0.9200742345909914,0.3917440527203973,0.40252638604553903,0.03703541565435272,0.015768731779637467,0.0805052772091078
0.4151053356094621,0.915073845160786,0.4032863224839812,0.4151053356094621,0.037985203560290906,0.016740630424141877,0.08302106712189242
0.4276842851733852,0.9099286655307568,0.41476478110540693,0.4276842851733852,0.0389162190876294,0.017738837892216155,0.08553685703467703
0.44026323473730833,0.9046395098117981,0.4261776123724353,0.44026323473730833,0.03982795168609152,0.018763033419571105,0.08805264694746166
0.4528421843012314,0.8992072148958368,0.4375230104569043,0.4528421843012314,0.040719895933285746,0.019812887573735505,0.09056843686024628
0.4654211338651545,0.8936326403234123,0.4487991802004621,0.4654211338651545,0.041591551671823435,0.020888062332665085,0.0930842267730309
0.4780000834290776,0.887916668147673,0.46000433739861096,0.4780000834290776,0.04244242414526563,0.021988211165427363,0.09560001668581553
0.4905790329930007,0.8820602027948115,0.4711367090830178,0.4905790329930007,0.04327202413286887,0.023112979114945156,0.09811580659860014
0.5031579825569238,0.8760641709209582,0.4821945338020477,0.5031579825569238,0.04407986808309934,0.02426200288278147,0.10063159651138476
0.5157369321208469,0.8699295212655597,0.4931760618994744,0.5157369321208469,0.04486547824588568,0.025434910915947583,0.10314738642416939
0.52831588168477,0.8636572245012606,0.5040795557913246,0.52831588168477,0.04562838280358048,0.02663132349571608,0.10566317633695399
0.5408948312486931,0.8572482730803168,0.5149032902408126,0.5408948312486931,0.04636811600060115,0.02785085282842012,0.10817896624973862
0.5534737808126162,0.8507036810775614,0.5256455526313207,0.5534737808126162,0.0470842182717208,0.02909310313821941,0.11069475616252325
