x,y,z
-3.0,-3.0,-0.0065564685008114
-2.8461538461538463,-3.0,-0.0056286096840022105
-2.6923076923076925,-3.0,-0.0035528716746898135
-2.5384615384615383,-3.0,-0.00012071314264281033
-2.3846153846153846,-3.0,0.004789196035985374
-2.230769230769231,-3.0,0.011182487342298479
-2.0769230769230766,-3.0,0.018934274188116617
-1.923076923076923,-3.0,0.027792113202074007
-1.7692307692307692,-3.0,0.03739771338233537
-1.6153846153846154,-3.0,0.04732472875306478
-1.4615384615384615,-3.0,0.05712669736445478
-1.3076923076923075,-3.0,0.06638707443304233
-1.1538461538461537,-3.0,0.07476287294881444
-1.0,-3.0,0.08201476530748343
-0.8461538461538458,-3.0,0.08801925912845361
-0.6923076923076921,-3.0,0.09276205263997964
-0.5384615384615383,-3.0,0.09631509477531168
-0.3846153846153846,-3.0,0.09880252918140894
-0.23076923076923084,-3.0,0.10036217475459637
-0.07692307692307665,-3.0,0.10110940361779296
0.0769230769230771,-3.0,0.10110940361779296
0.23076923076923084,-3.0,0.10036217475459637
0.384615384615385,-3.0,0.09880252918140892
0.5384615384615388,-3.0,0.09631509477531168
0.6923076923076925,-3.0,0.0927620526399796
0.8461538461538463,-3.0,0.08801925912845357
1.0,-3.0,0.08201476530748343
1.1538461538461542,-3.0,0.07476287294881444
1.3076923076923084,-3.0,0.06638707443304229
1.4615384615384617,-3.0,0.057126697364454734
1.6153846153846159,-3.0,0.04732472875306478
1.7692307692307692,-3.0,0.03739771338233537
1.9230769230769234,-3.0,0.027792113202073993
2.0769230769230775,-3.0,0.018934274188116575
2.230769230769231,-3.0,0.011182487342298479
2.384615384615385,-3.0,0.004789196035985374
2.5384615384615383,-3.0,-0.00012071314264281033
2.6923076923076925,-3.0,-0.0035528716746898135
2.8461538461538467,-3.0,-0.005628609684002229
3.0,-3.0,-0.0065564685008114
-3.0,-2.8461538461538463,-0.0056286096840022105
-2.8461538461538463,-2.8461538461538463,-0.0033946438779766407
-2.6923076923076925,-2.8461538461538463,0.0003963863387156599
